datetime,lvl_cm,temp_C
2024-09-04 08:30:00,794.56,11.425
2024-09-04 09:00:00,794.52,11.266
2024-09-04 09:30:00,794.53,11.132
2024-09-04 10:00:00,794.53,10.983
2024-09-04 10:30:00,794.49,10.835
2024-09-04 11:00:00,794.49,10.686
2024-09-04 11:30:00,794.43,10.546
2024-09-04 12:00:00,794.56,10.416
2024-09-04 12:30:00,794.57,10.294
2024-09-04 13:00:00,794.58,10.184
2024-09-04 13:30:00,794.74,10.056
2024-09-04 14:00:00,795.07,9.964
2024-09-04 14:30:00,795.26,9.875
2024-09-04 15:00:00,795.32,9.786
2024-09-04 15:30:00,795.52,9.717
